"Date","Close","% Change","% Change vs Average","Volume"
"2024-03-20T18:30:00.000Z","22,011.95","0.79","0.76","353,200"
"2024-03-21T18:30:00.000Z","22,096.75","0.39","0.35","388,700"
"2024-03-25T18:30:00.000Z","22,004.70","-0.42","-0.45","328,400"
"2024-03-26T18:30:00.000Z","22,123.65","0.54","0.51","409,100"
"2024-03-27T18:30:00.000Z","22,326.90","0.92","0.89","410,500"
"2024-03-31T18:30:00.000Z","22,462.00","0.61","0.57","0"
"2024-04-01T18:30:00.000Z","22,453.30","-0.04","-0.07","289,500"
"2024-04-02T18:30:00.000Z","22,434.65","-0.08","-0.11","309,600"
"2024-04-03T18:30:00.000Z","22,514.65","0.36","0.33","401,000"
"2024-04-04T18:30:00.000Z","22,513.70","0","-0.04","242,200"
"2024-04-07T18:30:00.000Z","22,666.30","0.68","0.65","227,600"
"2024-04-08T18:30:00.000Z","22,642.75","-0.10","-0.13","232,400"
"2024-04-09T18:30:00.000Z","22,753.80","0.49","0.46","276,800"
"2024-04-11T18:30:00.000Z","22,519.40","-1.03","-1.06","357,200"
"2024-04-14T18:30:00.000Z","22,272.50","-1.10","-1.13","355,500"
"2024-04-15T18:30:00.000Z","22,147.90","-0.56","-0.59","317,300"
"2024-04-17T18:30:00.000Z","21,995.85","-0.69","-0.72","456,900"
"2024-04-18T18:30:00.000Z","22,147.00","0.69","0.66","362,500"
"2024-04-21T18:30:00.000Z","22,336.40","0.86","0.82","279,300"
"2024-04-22T18:30:00.000Z","22,368.00","0.14","0.11","231,500"
"2024-04-23T18:30:00.000Z","22,402.40","0.15","0.12","235,900"
"2024-04-24T18:30:00.000Z","22,570.35","0.75","0.72","475,000"
"2024-04-25T18:30:00.000Z","22,419.95","-0.67","-0.70","329,900"
"2024-04-28T18:30:00.000Z","22,643.40","1.00","0.97","292,000"
"2024-04-29T18:30:00.000Z","22,604.85","-0.17","-0.20","361,900"
"2024-05-01T18:30:00.000Z","22,648.20","0.19","0.16","445,900"
"2024-05-02T18:30:00.000Z","22,475.85","-0.76","-0.79","438,100"
"2024-05-05T18:30:00.000Z","22,442.70","-0.15","-0.18","320,300"
"2024-05-06T18:30:00.000Z","22,302.50","-0.62","-0.66","297,800"
"2024-05-07T18:30:00.000Z","22,302.50","0","-0.03","277,400"
"2024-05-08T18:30:00.000Z","21,957.50","-1.55","-1.58","331,300"
"2024-05-09T18:30:00.000Z","22,055.20","0.44","0.41","265,800"
"2024-05-12T18:30:00.000Z","22,104.05","0.22","0.19","278,200"
"2024-05-13T18:30:00.000Z","22,217.85","0.51","0.48","230,200"
"2024-05-14T18:30:00.000Z","22,200.55","-0.08","-0.11","231,900"
"2024-05-15T18:30:00.000Z","22,403.85","0.92","0.88","368,900"
"2024-05-16T18:30:00.000Z","22,466.10","0.28","0.25","242,700"
"2024-05-20T18:30:00.000Z","22,529.05","0.28","0.25","347,600"
"2024-05-21T18:30:00.000Z","22,597.80","0.31","0.27","290,300"
"2024-05-22T18:30:00.000Z","22,967.65","1.64","1.61","369,800"
"2024-05-23T18:30:00.000Z","22,957.10","-0.05","-0.08","261,900"
"2024-05-26T18:30:00.000Z","22,932.45","-0.11","-0.14","260,000"
"2024-05-27T18:30:00.000Z","22,888.15","-0.19","-0.22","217,900"
"2024-05-28T18:30:00.000Z","22,704.70","-0.80","-0.83","269,900"
"2024-05-29T18:30:00.000Z","22,488.65","-0.95","-0.98","373,400"
"2024-05-30T18:30:00.000Z","22,530.70","0.19","0.16","572,100"
"2024-06-02T18:30:00.000Z","23,263.90","3.25","3.22","569,400"
"2024-06-03T18:30:00.000Z","21,884.50","-5.93","-5.96","1,006,100"
"2024-06-04T18:30:00.000Z","22,620.35","3.36","3.33","638,500"
"2024-06-05T18:30:00.000Z","22,821.40","0.89","0.86","480,400"
"2024-06-06T18:30:00.000Z","23,290.15","2.05","2.02","473,600"
"2024-06-09T18:30:00.000Z","23,259.20","-0.13","-0.16","304,400"
"2024-06-10T18:30:00.000Z","23,264.85","0.02","-0.01","305,200"
"2024-06-11T18:30:00.000Z","23,322.95","0.25","0.22","295,600"
"2024-06-12T18:30:00.000Z","23,398.90","0.33","0.29","268,300"
"2024-06-13T18:30:00.000Z","23,465.60","0.29","0.25","223,100"
"2024-06-17T18:30:00.000Z","23,557.90","0.39","0.36","272,200"
"2024-06-18T18:30:00.000Z","23,516.00","-0.18","-0.21","328,800"
"2024-06-19T18:30:00.000Z","23,567.00","0.22","0.19","280,300"
