Date,Close,% Change,% Change vs Average,Volume
2020-12-31T18:30:00.000Z,"14,018.50",0.26,0.16,"358,100"
2021-01-03T18:30:00.000Z,"14,132.90",0.82,0.72,"495,000"
2021-01-04T18:30:00.000Z,"14,199.50",0.47,0.37,"492,500"
2021-01-05T18:30:00.000Z,"14,146.25",-0.38,-0.47,"632,300"
2021-01-06T18:30:00.000Z,"14,137.35",-0.06,-0.16,"559,200"
2021-01-07T18:30:00.000Z,"14,347.25",1.48,1.39,"613,500"
2021-01-10T18:30:00.000Z,"14,484.75",0.96,0.86,"672,900"
2021-01-11T18:30:00.000Z,"14,563.45",0.54,0.45,"929,600"
2021-01-12T18:30:00.000Z,"14,564.85",0.01,-0.09,"874,000"
2021-01-13T18:30:00.000Z,"14,595.60",0.21,0.11,"620,200"
2021-01-14T18:30:00.000Z,"14,433.70",-1.11,-1.21,"789,600"
2021-01-17T18:30:00.000Z,"14,281.30",-1.06,-1.15,"762,000"
2021-01-18T18:30:00.000Z,"14,521.15",1.68,1.58,"546,100"
2021-01-19T18:30:00.000Z,"14,644.70",0.85,0.75,"623,100"
2021-01-20T18:30:00.000Z,"14,590.35",-0.37,-0.47,"704,600"
2021-01-21T18:30:00.000Z,"14,371.90",-1.5,-1.6,"776,800"
2021-01-24T18:30:00.000Z,"14,238.90",-0.93,-1.02,"618,600"
2021-01-26T18:30:00.000Z,"13,967.50",-1.91,-2.0,"660,700"
2021-01-27T18:30:00.000Z,"13,817.55",-1.07,-1.17,"637,900"
2021-01-28T18:30:00.000Z,"13,634.60",-1.32,-1.42,"753,200"
2021-01-31T18:30:00.000Z,"14,281.20",4.74,4.64,"870,500"
2021-02-01T18:30:00.000Z,"14,647.85",2.57,2.47,"915,000"
2021-02-02T18:30:00.000Z,"14,789.95",0.97,0.87,"869,500"
2021-02-03T18:30:00.000Z,"14,895.65",0.71,0.62,"884,700"
2021-02-04T18:30:00.000Z,"14,924.25",0.19,0.09,"935,600"
2021-02-07T18:30:00.000Z,"15,115.80",1.28,1.19,"671,200"
2021-02-08T18:30:00.000Z,"15,109.30",-0.04,-0.14,"713,300"
2021-02-09T18:30:00.000Z,"15,106.50",-0.02,-0.12,"624,800"
